ソフトウェア名,説明,詳細,Web,32bit,64bit,ダウンロードソースファイル
apache2,Webサーバー,Apache2 Web サーバー。.htaccessファイルを使用する事が出来ます。Certbotを使用することでSSLに対応させることができます。,https://httpd.apache.org/,TRUE,TRUE,apache2
fonts-noto,No More Tofu Font,もし豆腐文字が見えるようであったら、直ぐにこのフォントをインストールしてください！,,TRUE,TRUE,fonts-noto
wine,.exeファイルを実行,RaspberryPiで.exeファイルを実行できるようにします！,https://www.winehq.org/,TRUE,TRUE,wine-windows
winetricks,Wineソフトウェアのツール,このツールはWineへのツールで、フォントやアプリケーションをインストールすることができます。RPi-Toolでは、aptのリポジトリが古い為、オープンソースからインストールします。,https://github.com/Winetricks/winetricks,TRUE,TRUE,wine-tricks
scratch3,簡単なブロックプログラミング,MITによって作られました.ブロックで簡単にプログラムを作る事が出来ますが、凄いプログラムまで作る事が出来ます！!,https://scratch.mit.edu,TRUE,TRUE,scratch3
certbot,分でWebをSSL対応させるツール,Apache2にも対応。３か月のSSLですが、いつでも作り直す事が出来ます！,,TRUE,TRUE,certbot
php-7.3,PHPに対応させるツール,もしあなたがWebサーバーをインストールしたならば、必ずこのツールをいれてください！,,TRUE,TRUE,php-7.3
fcitx-mozc,日本語入力メゾット,もしあなたが日本人であるなら、日本語を入力するにはこのメゾットをインストールしてください,,TRUE,TRUE,fcitx-mozc
scratch,ブロックプログラミングScratchの中の最初のバージョン,もしあなたが遠隔センサーをScratchで使用したいなら、このバージョンを使用してください。,,TRUE,TRUE,scratch
scratch2mcpi,Scratchでプログラムし、Minecraft Piでプログラムを実行！,Minecraft Graphics Turtle はプログラムで凄い建物まで作れます！,https://scratch2mcpi.github.io,TRUE,FALSE,scratch2mcpi
